@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}

@data
Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.5,19.5,No
Male,0,Yes,Yes,41,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',19.5,798.2,No
Female,1,No,No,4,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',72.75,317.75,No
Male,0,Yes,No,24,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.1,533.9,No
Female,0,No,No,53,Yes,No,'Fiber optic',No,Yes,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',94.45,5042.75,No
Male,0,Yes,Yes,13,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,'Bank transfer (automatic)',61.8,750.1,No
Male,1,No,No,5,Yes,Yes,'Fiber optic',No,Yes,No,No,No,Yes,Month-to-month,Yes,'Electronic check',89.8,502.6,Yes
Male,0,No,Yes,34,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,Yes,'One year',Yes,'Electronic check',103.8,3470.8,No
Male,0,Yes,No,46,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Electronic check',19.6,851.2,No
Female,0,No,No,42,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',103.8,4327.5,No
Female,0,No,No,22,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',19.25,412.55,No
Female,0,No,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,'Mailed check',56.15,1439.35,No
Female,0,No,No,4,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',24.45,86.6,Yes
Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,No,No,No,'One year',Yes,'Mailed check',54.8,3465.7,No
Female,0,No,No,41,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',98.8,3959.15,No
Female,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',45.1,45.1,Yes
Male,0,Yes,No,18,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',44.35,768.05,No
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',45.15,438.4,Yes
Male,0,No,No,27,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,'Electronic check',59.45,1611.65,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Credit card (automatic)',19.75,19.75,No
Male,1,Yes,No,69,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',95.35,6382,No
Female,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.2,69.2,Yes
Female,1,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',50.55,50.55,Yes
Male,0,Yes,No,22,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Bank transfer (automatic)',20.45,471.55,No
Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,'One year',No,'Credit card (automatic)',80.55,4847.05,No
Female,1,No,No,31,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',73.9,2217.15,Yes
Male,0,No,No,51,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,No,Month-to-month,Yes,'Electronic check',87.35,4473,No
Female,0,Yes,Yes,39,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.75,757.95,No
Female,0,Yes,Yes,39,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',19.85,854.8,No
Male,1,Yes,No,34,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Credit card (automatic)',71.55,2427.35,No
Female,0,No,No,18,Yes,Yes,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',99.85,1776.95,Yes
Female,0,Yes,Yes,51,Yes,Yes,'Fiber optic',No,No,Yes,No,No,Yes,'One year',Yes,'Electronic check',90.15,4554.85,No
Male,1,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',74.7,165.4,Yes
Male,0,No,No,62,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,'Two year',No,'Bank transfer (automatic)',69.4,4237.5,No
Male,0,No,No,69,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',19.1,1268.85,No
Male,0,No,Yes,1,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.75,99.75,Yes
Male,0,No,No,64,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',99.25,6549.45,No
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',No,'Bank transfer (automatic)',82.3,5815.15,No
Female,0,Yes,Yes,45,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Credit card (automatic)',25.9,1216.6,No
Male,1,No,No,52,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',72.95,3829.75,No
Female,0,Yes,Yes,64,No,'No phone service',DSL,No,Yes,Yes,Yes,No,Yes,'Two year',No,'Electronic check',49.85,3210.35,No
Female,0,No,No,6,Yes,No,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,No,'Electronic check',83.9,497.55,Yes
Male,0,Yes,Yes,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',25,1738.9,No
Male,0,No,No,71,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,'One year',Yes,'Credit card (automatic)',79.05,5552.5,No
Female,0,No,Yes,15,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.65,270.6,No
Male,0,No,No,2,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',25.05,56.35,Yes
Female,0,No,No,58,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',24.35,1423.85,No
Male,0,Yes,Yes,10,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Credit card (automatic)',20.05,218.5,No
Female,0,Yes,Yes,20,Yes,Yes,'Fiber optic',No,No,Yes,Yes,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',95.5,1916.2,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.6,20.6,No
Female,0,Yes,Yes,56,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,'One year',No,'Bank transfer (automatic)',88.9,4968,No
Male,0,Yes,Yes,38,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',85.4,3297,No
Female,0,Yes,No,64,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.45,1208.6,No
Male,0,No,No,18,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',23.75,424.5,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,'Mailed check',62.8,62.8,No
Male,0,Yes,Yes,35,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20.05,746.75,No
Male,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.3,144,No
Male,0,Yes,Yes,67,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',105.4,6989.45,No
Male,0,Yes,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Credit card (automatic)',20.55,51.15,Yes
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',44.9,44.9,Yes
Male,0,No,No,12,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',24.95,280.4,No
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',79.5,5661.7,No
Female,0,Yes,Yes,3,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',84.75,264.85,Yes
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Mailed check',54.75,54.75,Yes
Female,0,No,No,31,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.9,689.35,No
Male,0,Yes,No,31,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,'Credit card (automatic)',66.4,2019.8,No
Female,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',48.6,48.6,Yes
Male,1,No,No,6,Yes,No,'Fiber optic',Yes,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',85.15,503.6,Yes
Female,1,Yes,Yes,68,No,'No phone service',DSL,No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Electronic check',53,3656.25,No
Female,0,No,Yes,8,No,'No phone service',DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',38.5,330.8,No
Female,1,No,No,14,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.3,1096.25,Yes
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',46.6,87.9,No
Male,0,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,'One year',Yes,'Electronic check',70.7,3770,No
Female,0,No,No,31,Yes,Yes,'Fiber optic',Yes,No,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',84.75,2613.4,No
Male,0,Yes,Yes,53,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',92.55,4779.45,No
Male,0,Yes,No,61,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',106.2,6375.2,No
Female,0,No,No,42,Yes,No,DSL,No,No,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',66.5,2762.75,No
Male,0,Yes,No,33,Yes,No,DSL,Yes,Yes,No,Yes,No,No,'Two year',Yes,'Mailed check',61.05,2018.4,No
Female,1,Yes,No,31,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',84.85,2633.4,No
Female,0,No,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',No,'Credit card (automatic)',77.35,5550.1,No
Female,1,No,No,14,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',80.35,1058.1,No
Male,0,Yes,No,49,Yes,No,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',99.25,4920.8,No
Male,0,No,No,15,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.8,304.6,No
Male,0,No,No,5,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,No,'Electronic check',96.55,500.1,No
Female,0,Yes,Yes,68,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',111.75,7511.3,No
Male,0,No,No,17,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',76.65,1313.55,Yes
Male,0,Yes,No,62,Yes,No,DSL,No,Yes,Yes,Yes,No,No,'Two year',Yes,'Credit card (automatic)',60.15,3753.2,No
Female,0,No,No,2,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',20.55,33.6,No
Female,0,No,No,30,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,'One year',Yes,'Credit card (automatic)',68.95,2038.7,No
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',50.3,92.75,No
Female,1,No,No,17,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',82.65,1470.05,No
Female,1,Yes,No,1,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',76.4,76.4,Yes
Female,0,No,No,3,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',75.1,270.7,Yes
Male,0,Yes,Yes,71,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',106,7723.7,Yes
Female,0,No,No,2,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',79.55,151.75,No
Female,0,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',87.15,183.75,Yes
Male,0,No,No,56,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,No,'Electronic check',98.6,5581.05,No
Male,0,Yes,No,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',No,'Credit card (automatic)',115.65,7968.85,Yes
Male,0,No,No,35,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,No,'Electronic check',83.15,2848.45,No
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',54.55,825.1,No
Female,0,No,No,38,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.3,755.5,No
Male,1,Yes,No,69,Yes,Yes,'Fiber optic',Yes,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',84.9,5785.65,No
Male,1,Yes,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.3,70.3,Yes
Male,0,No,No,57,No,'No phone service',DSL,No,No,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',53.35,3090.05,No
Female,0,No,Yes,1,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Mailed check',73.6,73.6,Yes
Male,1,Yes,Yes,35,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',76.05,2747.2,No
Female,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,'One year',Yes,'Mailed check',75.55,2680.15,No
Male,0,No,No,7,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,No,'Mailed check',74.35,533.6,No
Male,0,Yes,No,5,Yes,Yes,'Fiber optic',Yes,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',89.15,413.25,No
Male,0,Yes,Yes,31,No,'No phone service',DSL,Yes,No,Yes,Yes,Yes,Yes,'One year',No,'Electronic check',59.95,1848.8,No
Female,0,Yes,Yes,23,Yes,Yes,'Fiber optic',Yes,No,No,No,No,No,'One year',No,'Credit card (automatic)',81.85,1810.85,No
Male,0,Yes,Yes,24,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,'One year',No,'Mailed check',74.8,1821.2,No
Female,0,No,No,57,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,'Two year',No,'Mailed check',69.75,3894.4,No
Male,0,Yes,Yes,19,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.2,387.4,No
Female,0,No,No,21,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',99.85,1992.55,No
Female,0,No,No,12,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',99.7,1238.45,Yes
Male,0,Yes,No,42,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Electronic check',20.25,835.5,No
Male,1,No,No,24,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Credit card (automatic)',70,1732.6,No
Male,0,No,No,43,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',75.2,3198.6,Yes
Female,0,No,Yes,2,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',61.2,125.95,No
Female,0,Yes,Yes,71,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',23.9,1663.5,No
Male,0,No,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Mailed check',69.85,837.5,No
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',45.3,45.3,Yes
Female,0,Yes,Yes,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',50.85,239.55,Yes
Male,0,No,Yes,9,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',50.1,484.05,No
Male,0,Yes,Yes,14,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,'Mailed check',69.2,944.65,No
Female,0,Yes,Yes,61,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',24.1,1551.6,No
Male,1,Yes,No,16,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',98.75,1587.55,Yes
Female,1,Yes,No,31,No,'No phone service',DSL,Yes,Yes,Yes,No,No,Yes,'One year',Yes,'Credit card (automatic)',50.4,1580.1,No
Male,1,No,No,53,No,'No phone service',DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',54.45,2854.55,Yes
Male,0,No,Yes,28,Yes,No,DSL,No,Yes,No,Yes,No,No,'One year',Yes,'Credit card (automatic)',54.4,1516.6,No
Female,1,Yes,No,42,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.05,3944.5,No
Female,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,'One year',No,'Bank transfer (automatic)',75.1,2658.8,No
Male,0,No,Yes,27,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.7,509.3,No
Male,0,No,Yes,12,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',73.75,871.4,Yes
Female,0,Yes,Yes,65,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'Two year',Yes,'Credit card (automatic)',104.3,6725.3,No
Male,1,No,No,2,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',94,181.7,Yes
Male,0,No,No,41,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.15,802.35,No
Female,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',74.65,3090.65,No
Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Mailed check',58.95,601.6,No
Male,0,No,No,29,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',19.8,572.2,No
Female,1,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',83.8,163.7,No
Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No,No,No,No,'Two year',Yes,'Bank transfer (automatic)',54.2,3838.2,No
Female,0,No,No,5,Yes,No,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',96.25,512.45,Yes
Male,1,No,No,43,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',84.85,3645.6,No
Female,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',51.25,612.1,No
