@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42_clustered

@attribute Instance_number numeric
@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}
@attribute Cluster {cluster0,cluster1}

@data
12,Female,0,No,No,32,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',101.35,3334.9,No,cluster1
13,Female,0,No,No,52,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',49.75,2535.55,No,cluster1
14,Male,0,No,No,2,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',24.85,62,No,cluster0
15,Male,1,Yes,No,38,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',24.85,955.75,No,cluster1
16,Female,0,Yes,No,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.5,1502.25,No,cluster0
17,Male,0,Yes,Yes,1,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',30.2,30.2,Yes,cluster1
18,Female,0,No,Yes,8,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.05,163.6,No,cluster0
19,Female,0,Yes,No,7,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',69.2,477.55,No,cluster1
20,Male,0,No,No,52,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',105,5426.85,Yes,cluster1
21,Male,0,Yes,Yes,55,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,No,'Bank transfer (automatic)',85.5,4713.4,No,cluster1
22,Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.4,19.4,No,cluster0
23,Male,0,No,No,53,Yes,No,'Fiber optic',No,Yes,No,Yes,No,No,Month-to-month,Yes,'Mailed check',80.6,4348.1,No,cluster1
24,Female,0,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,'Electronic check',60.55,1982.6,No,cluster1
25,Female,0,Yes,Yes,6,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,No,Month-to-month,Yes,'Mailed check',94.05,518.75,No,cluster1
26,Female,0,No,No,47,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,No,'Credit card (automatic)',75.45,3545.1,No,cluster1
27,Female,0,Yes,No,72,No,'No phone service',DSL,No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Electronic check',54.2,3937.45,Yes,cluster1
28,Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No,'Two year',Yes,'Credit card (automatic)',64.2,3009.5,No,cluster1
29,Male,1,Yes,No,2,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',74.2,140.1,No,cluster1
30,Female,0,Yes,Yes,31,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',104.2,3243.45,Yes,cluster1
31,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,No,Yes,No,No,'Two year',No,'Credit card (automatic)',61.4,4059.85,No,cluster1
32,Female,0,No,No,43,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,No,Month-to-month,Yes,'Electronic check',91.65,3954.1,No,cluster1
33,Male,0,No,No,26,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Bank transfer (automatic)',19.6,471.85,No,cluster0
34,Female,0,No,No,21,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Mailed check',104.55,2239.4,No,cluster1
35,Male,0,Yes,Yes,16,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,'Electronic check',84.9,1398.25,No,cluster1
36,Male,0,No,No,8,No,'No phone service',DSL,Yes,No,No,No,No,No,Month-to-month,No,'Mailed check',29.35,216.45,No,cluster1
37,Male,0,Yes,Yes,24,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,'Bank transfer (automatic)',81,1923.85,No,cluster1
38,Female,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',55.75,446.8,No,cluster1
39,Female,1,Yes,No,67,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,Yes,'One year',Yes,'Electronic check',105.6,7112.15,No,cluster1
40,Male,0,Yes,Yes,44,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20.6,926,No,cluster0
41,Male,0,Yes,No,32,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',98.85,3145.9,No,cluster1
42,Male,0,Yes,Yes,46,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Bank transfer (automatic)',20.2,845.6,No,cluster0
43,Female,0,No,No,61,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Mailed check',115.1,6993.65,No,cluster1
44,Male,1,No,No,65,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',99.1,6496.15,No,cluster1
45,Female,0,Yes,Yes,33,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'One year',Yes,'Mailed check',103.7,3467,Yes,cluster1
46,Female,0,No,No,7,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',75.35,564.65,No,cluster1
47,Female,0,No,No,52,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',59.45,3043.7,No,cluster1
48,Female,0,No,No,53,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,No,Month-to-month,No,'Electronic check',90.8,4921.2,No,cluster1
49,Male,0,Yes,Yes,4,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',18.85,84.2,No,cluster0
50,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',90.05,6333.4,No,cluster0
51,Male,0,No,No,57,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',18.8,1094.35,No,cluster0
52,Male,0,No,Yes,54,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',55,3092.65,Yes,cluster1
53,Male,0,Yes,Yes,1,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',81.05,81.05,No,cluster1
54,Male,0,Yes,No,69,Yes,No,DSL,Yes,Yes,No,No,No,No,'One year',Yes,'Credit card (automatic)',53.65,3804.4,No,cluster1
55,Female,0,Yes,Yes,67,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',112.35,7388.45,No,cluster1
56,Female,0,Yes,No,6,Yes,Yes,'Fiber optic',No,Yes,No,No,No,Yes,Month-to-month,Yes,'Electronic check',90.75,512.25,No,cluster1
57,Female,0,No,No,48,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',24,1183.05,No,cluster0
58,Female,0,No,No,20,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',44.35,927.15,No,cluster1
59,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Electronic check',86.1,5215.25,No,cluster0
60,Male,0,Yes,Yes,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',116.55,8152.3,No,cluster1
61,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',44.45,44.45,No,cluster1
62,Female,0,Yes,Yes,12,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',25.25,274.7,No,cluster0
63,Female,0,Yes,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.85,72,No,cluster0
64,Female,0,Yes,Yes,48,No,'No phone service',DSL,Yes,No,Yes,No,No,Yes,'One year',No,'Credit card (automatic)',45,2196.3,No,cluster1
65,Female,0,No,Yes,26,No,'No phone service',DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',29.8,786.5,No,cluster1
66,Female,0,No,No,46,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,No,'One year',Yes,'Credit card (automatic)',95.65,4664.2,No,cluster1
67,Male,0,Yes,Yes,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.5,74.5,Yes,cluster1
68,Female,1,Yes,No,27,Yes,Yes,'Fiber optic',Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',104.3,2867.75,Yes,cluster1
69,Female,0,No,No,3,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',24.6,86.35,No,cluster0
70,Male,0,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,No,'Two year',Yes,'Credit card (automatic)',97.95,7114.25,No,cluster1
71,Female,0,No,No,38,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',103.65,3988.5,No,cluster1
72,Female,0,Yes,No,22,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',80,1706.45,No,cluster1
73,Male,0,Yes,No,18,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',94.75,1691.9,No,cluster1
74,Female,1,Yes,No,34,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',94.25,3217.55,Yes,cluster1
75,Male,0,No,No,60,No,'No phone service',DSL,Yes,Yes,Yes,No,No,No,'Two year',No,'Bank transfer (automatic)',39.6,2424.5,No,cluster1
76,Female,1,Yes,No,39,Yes,No,'Fiber optic',Yes,Yes,No,No,Yes,Yes,'One year',No,'Mailed check',99.1,3877.95,No,cluster1
77,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Mailed check',81,3846.35,No,cluster0
78,Female,0,No,No,5,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',50.55,244.75,No,cluster1
79,Female,1,Yes,No,11,Yes,No,'Fiber optic',No,No,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',82.9,880.05,No,cluster1
80,Male,0,Yes,Yes,38,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,No,'Two year',Yes,'Bank transfer (automatic)',94.9,3616.25,No,cluster1
81,Male,1,No,No,12,Yes,No,'Fiber optic',No,Yes,Yes,Yes,No,No,Month-to-month,Yes,'Mailed check',83.8,1029.75,Yes,cluster1
82,Male,0,No,No,5,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',20.65,93.55,No,cluster0
83,Male,1,No,No,68,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',95.9,6503.2,No,cluster1
84,Male,0,Yes,Yes,39,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,'One year',No,'Electronic check',100,3835.55,No,cluster1
85,Female,0,No,No,8,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',20.7,137.6,No,cluster0
86,Female,0,Yes,No,71,No,'No phone service',DSL,No,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',58.25,4145.9,No,cluster0
87,Female,0,No,No,3,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,'Two year',No,'Mailed check',71.1,213.35,No,cluster1
88,Female,0,No,No,41,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',24.85,962.25,No,cluster0
89,Male,0,No,Yes,63,No,'No phone service',DSL,Yes,Yes,No,Yes,No,No,'One year',Yes,'Bank transfer (automatic)',40.6,2588.95,No,cluster1
90,Female,0,No,No,15,Yes,No,'Fiber optic',Yes,No,No,No,Yes,No,Month-to-month,No,'Electronic check',86.2,1270.2,Yes,cluster1
91,Male,0,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,No,'Electronic check',95.65,167.3,Yes,cluster1
92,Male,0,No,No,50,No,'No phone service',DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',35,1782.4,No,cluster1
93,Male,0,Yes,No,64,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'One year',Yes,'Mailed check',108.5,6880.85,No,cluster1
94,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',45.75,45.75,Yes,cluster1
95,Male,0,No,No,7,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',93.85,635.6,Yes,cluster1
96,Male,0,No,No,35,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',108.95,4025.5,No,cluster1
97,Male,0,Yes,No,23,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',19.3,486.2,No,cluster0
98,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',45.8,45.8,No,cluster1
99,Male,0,Yes,Yes,44,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Electronic check',24.85,1013.6,No,cluster0
100,Male,0,No,No,45,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',18.85,867.3,No,cluster0
101,Male,0,Yes,Yes,4,No,'No phone service',DSL,Yes,No,No,No,Yes,No,Month-to-month,No,'Credit card (automatic)',38.55,156.1,No,cluster1
102,Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20,20,Yes,cluster0
103,Male,0,Yes,Yes,26,Yes,No,DSL,No,No,Yes,No,No,No,'One year',No,'Mailed check',50.35,1285.8,No,cluster0
104,Male,0,Yes,No,65,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',20.4,1414.45,No,cluster0
105,Male,0,Yes,No,8,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.5,609.9,Yes,cluster1
106,Female,0,No,No,65,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',26.5,1698.55,No,cluster0
107,Female,0,Yes,Yes,55,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,'One year',No,'Mailed check',100.9,5448.6,No,cluster1
108,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',45,524.35,No,cluster1
109,Male,1,Yes,No,37,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',85.7,3171.15,Yes,cluster1
110,Female,0,Yes,No,56,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,No,Month-to-month,No,'Electronic check',90.55,5116.6,No,cluster1
111,Female,0,No,No,6,No,'No phone service',DSL,No,No,No,Yes,Yes,Yes,'One year',Yes,'Mailed check',49.25,255.6,No,cluster1
112,Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',49.6,939.8,No,cluster1
113,Female,0,No,No,19,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',20.25,383.65,No,cluster0
114,Female,0,No,No,13,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',31.05,347.25,Yes,cluster1
115,Male,0,Yes,Yes,37,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',19.8,726.1,No,cluster0
116,Male,1,No,No,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',25.1,1789.9,No,cluster0
117,Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.15,20.15,No,cluster0
118,Female,0,Yes,No,52,No,'No phone service',DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',66.25,3330.1,No,cluster0
119,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',45.85,45.85,Yes,cluster1
120,Male,0,No,No,48,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',106.1,5082.8,Yes,cluster1
121,Female,0,Yes,Yes,42,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',92.15,3875.4,No,cluster1
122,Male,1,No,No,41,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',98.4,4187.75,Yes,cluster1
123,Female,0,Yes,No,26,No,'No phone service',DSL,Yes,Yes,Yes,No,Yes,No,'One year',No,'Bank transfer (automatic)',47.85,1190.5,No,cluster1
124,Male,0,No,No,25,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',94.7,2362.1,Yes,cluster1
125,Female,0,No,No,6,Yes,No,'Fiber optic',No,No,Yes,Yes,No,Yes,Month-to-month,Yes,'Electronic check',89.25,487.05,No,cluster1
126,Female,0,No,No,12,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',89.75,1052.4,Yes,cluster1
127,Male,0,No,No,14,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,No,'Electronic check',76.45,1117.55,No,cluster1
128,Female,0,No,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.25,71.2,No,cluster0
129,Female,0,No,No,37,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.85,784.25,No,cluster0
130,Male,0,No,No,2,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',82,184.65,Yes,cluster1
131,Male,0,Yes,Yes,9,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',101.5,906.85,No,cluster1
132,Female,0,Yes,Yes,46,No,'No phone service',DSL,Yes,Yes,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',35.05,1620.25,No,cluster1
133,Female,0,No,No,8,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',80.1,679.3,Yes,cluster1
134,Female,0,Yes,No,27,Yes,No,'Fiber optic',Yes,No,No,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',101.9,2681.15,No,cluster1
135,Female,0,No,No,6,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.7,112.75,No,cluster0
136,Male,1,Yes,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',73.55,73.55,Yes,cluster1
137,Female,0,Yes,No,9,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',89.45,853.1,Yes,cluster1
138,Female,1,Yes,No,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',25.7,1937.4,No,cluster0
139,Male,0,No,No,45,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',50.9,2298.55,No,cluster1
140,Female,0,No,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',77.15,77.15,Yes,cluster1
141,Female,0,No,No,64,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',110.5,7069.25,No,cluster1
142,Male,0,Yes,Yes,68,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Credit card (automatic)',103.25,7074.4,No,cluster0
143,Male,0,Yes,Yes,44,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20,860.85,No,cluster0
144,Male,0,Yes,Yes,59,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',86.75,5186,No,cluster0
145,Male,0,No,No,8,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',86.55,649.65,Yes,cluster1
146,Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.4,20.4,No,cluster0
147,Female,0,No,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,'Credit card (automatic)',55.5,227.35,No,cluster1
148,Female,0,No,No,7,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',79.7,586.05,Yes,cluster1
149,Female,1,No,No,2,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,No,'Mailed check',81.5,162.55,No,cluster1
150,Male,0,No,No,18,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.05,358.5,No,cluster0
151,Female,0,No,No,9,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',19.5,150.35,No,cluster0
152,Female,0,Yes,No,56,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',105.6,6068.65,No,cluster1
153,Male,0,Yes,Yes,18,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,No,'Mailed check',95.15,1779.95,Yes,cluster1
154,Female,0,No,No,50,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.7,4729.75,No,cluster1
155,Female,1,No,No,14,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',104.85,1531.4,Yes,cluster1
156,Female,1,Yes,No,8,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',80.65,633.3,Yes,cluster1
157,Female,0,No,No,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',19.9,323.15,No,cluster0
